Order	Line_item	Date	Creative	Order_ID	Line_item_ID	Creative_ID	Agency_ID	Line_item_start_date	Line_item_end_date	Rate__	Goal_quantity	Total_impressions	Total_clicks	Total_CTR	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287982-1_RON_Now_Mobile Android Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA(West Palm Beach-548)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_west palm_sunny_320x50_20416	383538737	207962417	83401763417	-	2/3/2016	3/13/2016	14	49506	40	2	0.05	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287982-1_RON_Now_Mobile Android Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA(West Palm Beach-548)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_west palm_rainy day_320x50_20416	383538737	207962417	83401771577	-	2/3/2016	3/13/2016	14	49506	44	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287982-1_RON_Now_Mobile Android Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA(West Palm Beach-548)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_west palm_cloudy day_320x50_20416	383538737	207962417	83401774697	-	2/3/2016	3/13/2016	14	49506	1862	12	0.0064	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287983-1_RON_Now_Mobile iPhone Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(West Palm Beach-548)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_west palm_rainy night_320x50_20316	383538737	207962657	83335517057	-	2/3/2016	3/13/2016	14	10721	71	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287983-1_RON_Now_Mobile iPhone Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(West Palm Beach-548)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_west palm_cloudy night_320x50_20316	383538737	207962657	83335534577	-	2/3/2016	3/13/2016	14	10721	478	5	0.0105	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287983-1_RON_Now_Mobile iPhone Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(West Palm Beach-548)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_west palm_clear_320x50_20316	383538737	207962657	83335542737	-	2/3/2016	3/13/2016	14	10721	5	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287984-1_RON_Now_Mobile Android Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(West Palm Beach-548)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_west palm_rainy night_320x50_20316	383538737	207962897	83335517057	-	2/3/2016	3/13/2016	14	10723	85	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287984-1_RON_Now_Mobile Android Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(West Palm Beach-548)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_west palm_cloudy night_320x50_20316	383538737	207962897	83335534577	-	2/3/2016	3/13/2016	14	10723	481	5	0.0104	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287984-1_RON_Now_Mobile Android Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(West Palm Beach-548)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_west palm_clear_320x50_20316	383538737	207962897	83335542737	-	2/3/2016	3/13/2016	14	10723	2	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287986-1_RON_Now_Mobile iPhone Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA (Wilmington-550)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_wilmington_rainy day_320x50_20316	383538737	207963137	83335409297	-	2/3/2016	3/13/2016	14	24296	46	2	0.0435	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287986-1_RON_Now_Mobile iPhone Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA (Wilmington-550)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_wilmington_sunny_320x50_20316	383538737	207963137	83335412177	-	2/3/2016	3/13/2016	14	24296	6	0	0	
